Expt'l Mr (Da)	I	RT
23983.7548	695662	30.5
23983.758	622246	31
21762.9766	444847	22.5
24063.7226	387089	31
32729.684	360650	32
34560.3517	329396	24.5
24063.7192	302262	30.5
21262.7156	285615	23
23903.7892	267887	30.5
41813.8522	223855	40.5
20761.1456	222775	20.5
42942.8686	183604	33.5
25906.298	177306	26
23903.7928	174424	31
25905.2957	168622	25.5
41813.8421	168148	40
21761.9706	145104	23
21261.7168	138078	22.5
20719.1375	132854	20.5
20719.1357	106170	20
18432.5251	101893	43.5
32996.2184	98768	42
25826.3306	98589	25.5
34560.3537	88611	25
21762.9725	86710	22
34479.3841	84364	25.5
32729.6827	80400	32.5
25826.3319	77051	26
21778.9838	72786	22.5
34479.3827	72501	25
23983.7533	72222	31.5
42942.8606	68341	33
20761.1466	63462	20
41844.8287	59141	40.5
35932.9962	58931	28
41360.4623	58530	38
35960.0023	58076	28
43316.1494	56317	36
32675.7559	55621	32.5
32996.2207	55026	41.5
18432.5166	53928	44
18688.3577	52263	38
34431.2989	52063	24.5
33185.8835	51617	34.5
24002.7427	49862	30.5
47208.277	49181	36.5
41845.8205	48364	40
29448.013	46604	27
17247.5192	46155	17
32809.6587	45501	31.5
24063.7184	43584	31.5
30890.7791	43489	28
21332.8088	43169	22.5
30031.7948	42873	37.5
30890.7714	41541	27.5
21252.2816	39878	23.5
32809.645	39040	32
29794.7015	36955	30
37123.9191	36852	34
5447.9621	35683	17.5
24003.7409	34796	31
46813.2471	34704	37.5
35526.1889	33022	28
41635.7089	32752	39.5
24045.7237	32326	30.5
17823.1593	32256	14.5
24082.7022	32207	30.5
47455.4752	32009	35
32751.672	31955	32
34580.3384	31371	24.5
32729.6917	31326	31.5
24726.507	31046	36.5
23965.7501	30360	30.5
47455.4698	30257	34.5
24726.504	30228	36
24083.7041	30209	31
42942.8613	30209	34
20748.8889	30199	23.5
25904.4661	29740	41
17624.0253	29718	14.5
25903.9688	29627	41
22446.5101	29422	28.5
22383.4874	29216	24
18422.0041	28843	19
5447.9613	28679	17
24045.7257	28614	31
23473.3439	27857	26
24364.3964	27584	25.5
24384.8129	27215	24.5
32979.4271	25702	38
34430.3061	25623	25
41813.8248	25621	41
20761.1491	25447	21
41831.8332	25406	40
36053.9033	24986	29
21778.9824	24758	23
21744.9672	24382	22.5
23473.3464	24177	25.5
22155.2659	24158	29.5
35959.9947	23897	27.5
35932.9878	23746	27.5
24029.7251	23695	30.5
35899.3624	23270	35
46754.9919	22938	38.5
23965.7537	22690	31
32083.5776	22554	30
34542.3414	22191	24.5
22477.4279	22119	21.5
35526.1814	22076	28.5
35882.1551	21396	40.5
21803.9638	21363	22.5
38875.7189	20785	37.5
21490.0289	19830	25
34198.3408	19647	26.5
42965.857	19505	33.5
23362.1883	19365	19.5
24384.8112	19258	25
14617.1571	18958	34
41832.8404	18958	40.5
21841.9327	18934	22.5
24029.7278	18332	31
