Expt'l Mr (Da)	I	RT
17746.565	41696	29.5
12102.1515	41657	33
20824.8583	40900	22
22388.9499	40754	23
10913.9634	40164	35
18703.3582	39834	38
21828.9101	39380	36
32751.6726	39331	32
13153.411	38713	20.5
12102.1567	38477	32.5
12440.723	38105	21
15065.8838	37179	30.5
5447.962	37052	17
9344.1936	37043	38
13822.5186	36800	32
15656.6896	36681	19
21812.8999	36539	35
18769.3138	36407	38.5
9344.6971	36390	38
14698.911	35533	33
10606.2893	35369	26.5
13429.1746	35357	28.5
11382.3807	34763	31.5
10914.467	34734	34.5
14646.746	34638	26
9411.868	34330	19.5
21871.8701	34015	35
14008.8918	33727	31
13432.9309	33397	28.5
18710.3418	33178	38.5
9344.1932	33005	37.5
20630.1436	32890	33.5
15919.4745	32828	25.5
6643.8139	32818	12.5
13921.8792	32685	31.5
9769.0618	32422	35.5
15919.4764	32372	25
16303.9858	32042	27
9344.6946	31947	37.5
10914.4623	31906	35
18736.3481	31805	37
10692.3387	31575	22.5
14617.1573	31170	33.5
32996.2311	30531	41.5
14178.408	30302	38.5
18789.2861	30162	38
15037.8535	30046	30.5
14416.4374	28846	31
15037.8511	28578	30
24063.7142	28485	30.5
13921.8834	28366	32
13908.4907	28064	20
13750.5076	27859	32.5
11284.3542	27801	31.5
14411.5082	27707	21.5
18390.4458	27614	34.5
21860.8923	27409	34.5
12652.9145	27363	22.5
17618.8219	26765	29.5
21889.8503	26420	34.5
11284.3535	26346	31
18722.3392	26288	37.5
18330.9481	26101	21.5
11355.3842	25561	31.5
23768.5368	25507	39
23745.0944	25369	36
13023.9091	25305	33.5
18743.3011	25085	37.5
13994.8732	24983	31.5
25926.2671	24921	25.5
11326.3732	24681	31.5
16131.4806	24601	30
21461.8566	24512	37
21860.8979	24432	35.5
18788.2803	24379	37.5
35932.9687	24345	28
35959.9736	24271	28
14154.7856	24171	22
23902.7761	23993	31
41813.8181	23982	40
25888.2693	23665	25.5
32871.5604	23648	32.5
9365.8285	23190	24.5
21261.7023	23130	23
23902.7785	23105	30.5
20632.1548	23041	34
18918.3525	23006	29
17247.5239	22792	17
12114.8515	22770	21
14087.862	22648	31.5
13766.5097	22541	31.5
14049.8964	22525	31.5
18509.9915	22523	30.5
13809.5155	22468	32
18688.3558	22455	39.5
13361.1288	22399	33
9381.8569	22371	24.5
25906.2825	22134	26.5
16940.1265	21874	26
18721.3521	21828	37
15409.331	21809	29
11456.143	21799	22
14617.155	21444	34
12388.2172	21237	24
21890.8522	21108	35
17869.8294	21033	31
17145.6243	20989	30
13158.0354	20943	13.5
15390.0922	20935	31
17188.7081	20910	37
15409.328	20909	28.5
14767.012	20862	24.5
9489.8247	20857	35
18635.8037	20806	31
18743.2996	20801	38
16598.5494	20760	34.5
26373.5158	20747	25.5
15348.0804	20565	30.5
18432.5259	20525	44
27633.5257	20334	37
21261.7048	20008	22.5
19958.9868	19836	30
11414.1343	19834	22
12114.8503	19830	20.5
25926.2709	19788	26
26373.5205	19725	26
10606.2925	19676	27
12644.682	19548	27.5
14038.8667	19484	31
21828.9217	19424	37
22388.9522	19365	23.5
12252.378	19216	25.5
12440.7264	19188	21.5
13796.5116	19171	32.5
15648.6193	19108	20
11355.3787	18990	31
19957.9835	18971	31
13369.4746	18939	30.5
13412.4966	18779	30.5
10521.538	18773	12
11326.3762	18767	31
12250.2078	18655	40
22190.2309	18613	34
15257.5188	18583	35.5
27948.6671	18469	37
20761.1341	18426	20.5
13822.5169	18229	32.5
32672.6709	18177	32.5
15718.7471	18090	25
13630.6724	17862	24.5
25887.2703	17762	26
21907.8348	17594	34.5
21861.9066	17572	34
15271.5213	17537	35.5
24609.9848	17533	43
32729.6714	17464	33
18701.3608	17283	37.5
25985.2446	16955	26
13970.7627	16950	31
17145.6228	16938	31
13970.7692	16882	31.5
25985.239	16582	25.5
12454.5841	16531	23
15285.5257	16510	35.5
10825.7347	16423	31
15682.6581	16311	23
18688.3507	16223	40
18811.2685	16026	38
18509.9873	15965	30
20903.8147	15920	22.5
9366.8043	15752	17.5
17080.609	15738	27
12493.4095	15737	35
14077.8166	15675	31
21827.9047	15649	34
9510.8559	15577	18.5
8241.4845	15513	11.5
17206.6948	15509	36
15243.5054	15234	35.5
14180.5441	15188	42
32772.6477	15111	32
13449.9254	15104	27.5
9253.9933	15055	11
18753.3378	15031	37
9381.8579	15012	25
9411.8674	14716	20
13361.1338	14465	33.5
13453.9133	14458	28
24609.9762	14314	43.5
12652.9156	14227	22
13972.4268	13954	29
15299.528	13887	35.5
18411.4416	13861	34
9365.8291	13850	25
41844.8133	13828	40.5
42942.8583	13753	33.5
21928.8212	13628	34.5
10137.4161	13475	21
18825.2954	13410	38
18725.3251	13339	38
21908.8357	13292	35
18732.3194	13232	38.5
15110.0248	13208	31.5
13997.8511	13190	30.5
18811.2651	13180	37.5
35526.156	13122	28.5
14403.7498	13009	27
35959.9844	13005	27.5
21860.8901	12967	35
18688.3576	12966	40.5
32711.7095	12926	32
10267.4357	12859	35.5
11368.3772	12737	31.5
35932.9736	12675	27.5
11238.8744	12618	21
14037.881	12606	31.5
21829.9204	12574	38.5
33950.8186	12568	41.5
32751.6499	12547	32.5
15313.534	12480	35.5
12374.297	12466	23.5
25941.2618	12360	25.5
9363.8995	12353	37
20516.1892	12319	36
12374.2999	12245	22.5
23719.4214	12233	25.5
11403.36	12197	31.5
13480.9202	12193	27
12017.0944	12192	21.5
14006.887	12184	32
26398.4809	12090	40
13750.5119	12045	31.5
13464.9209	11987	27.5
30910.7539	11971	27.5
12493.4096	11939	34.5
18671.3401	11904	38.5
11382.37	11848	31
28092.6946	11834	35.5
11424.3735	11558	31.5
14220.4165	11540	38.5
13931.7968	11533	31
11622.813	11520	32.5
9323.7976	11485	17.5
21454.9394	11472	39
22679.4445	11434	32.5
8321.4513	11324	11
25922.2749	11272	25
18490.4606	11227	34.5
8644.6365	11198	27.5
14403.7464	11197	26.5
21847.8941	11180	35.5
9238.9829	11179	11
33018.2114	11160	42
14575.7097	11127	26
21461.8511	11121	36.5
8347.5055	11065	27.5
21928.8229	11056	35
9769.062	10972	35
13933.8057	10945	31.5
26582.3929	10925	33.5
10825.7371	10898	30.5
13153.4105	10885	21
18688.3568	10869	41
11363.3672	10864	31
19961.0093	10850	34
32790.6387	10767	32
32831.6188	10767	32
15111.0289	10727	30.5
13840.4985	10637	32
21828.9149	10514	39
18421.9955	10480	19
14154.7844	10442	22.5
18941.9151	10406	27.5
35526.1603	10369	28
18799.273	10365	37.5
11456.1395	10284	22.5
18799.2782	10225	38
13808.5132	10154	32.5
15327.5339	10109	35.5
15648.6237	9966	19.5
17368.5473	9924	39
14078.5057	9905	24.5
20862.3929	9878	36.5
21761.9594	9877	23
21828.9196	9862	37.5
25942.2637	9819	26
13958.4135	9627	29
9271.9894	9615	11
15402.8252	9615	26.5
18827.264	9483	37.5
25846.2941	9458	25.5
20884.3759	9443	36
20150.5947	9249	27
13780.5188	9208	33
9238.9818	9145	11.5
32698.6136	9089	32.5
12170.1453	9082	24
21778.9699	9026	22.5
20823.8483	9007	22.5
12017.0936	8956	21
16851.5633	8913	36
18752.307	8838	38.5
12388.2142	8806	24.5
13275.2608	8776	26.5
20719.1265	8770	20.5
18840.271	8753	38
9273.0049	8691	11.5
32831.635	8683	31.5
21803.8822	8661	34.5
21828.9182	8644	39.5
18779.2945	8581	37.5
14759.6894	8579	33
24153.5442	8569	27
12470.1902	8548	24
33263.3698	8510	42
13412.5007	8453	31
6228.8182	8391	38
16365.8463	8378	32
14073.8587	8330	31.5
16303.983	8310	27.5
14646.7449	8264	26.5
25967.2353	8252	25.5
13907.4796	8232	19.5
21828.9175	8117	36.5
21799.8769	8046	35
21877.9006	8042	34
29820.1665	7948	24.5
21951.8111	7936	34.5
20975.725	7913	22
6228.8159	7905	37.5
25808.3	7841	25.5
15257.5147	7833	35
16865.8905	7822	35.5
11396.3549	7775	31.5
33047.5714	7770	32.5
41813.8289	7707	41
34127.0612	7705	29
14027.8788	7698	31.5
32749.669	7687	31.5
35606.1159	7685	28.5
16598.5476	7679	35
21897.8462	7651	34.5
19725.4032	7644	39.5
21829.9355	7635	38
32809.6256	7634	32.5
18978.4335	7600	38
21917.8329	7554	34.5
18688.3597	7550	41.5
14474.1233	7500	32.5
15341.536	7487	35.5
11239.8768	7460	21.5
21828.9132	7441	40
19753.0244	7386	36.5
11314.368	7379	30.5
8209.0683	7318	34
31171.1483	7311	36
11298.3697	7267	32
13369.4784	7254	31
30890.7464	7251	28.5
26293.5414	7225	25.5
33010.5939	7205	32.5
18658.3311	7197	37.5
18658.3333	7185	38
11362.3664	7183	31.5
41845.8008	7181	40
10439.0602	7166	14.5
21785.8022	7148	34.5
23983.7446	7109	31.5
10520.43	7102	19
6890.2748	7102	32
15229.4901	7097	35.5
27650.5224	7092	37
9128.8969	7087	11.5
21881.8517	7070	35
9123.716	7059	17.5
25905.2775	7056	25
13467.907	7045	28
25826.3128	7016	26.5
22432.4175	7011	30
12103.1548	7006	33.5
25906.2894	6988	27
13275.2623	6970	26
17235.6802	6950	36
15240.7868	6948	26.5
12437.2818	6945	23
30912.7415	6923	28
11402.3531	6893	31
13896.7916	6874	32
21950.8177	6867	35
15271.5195	6863	35
9526.8525	6853	17.5
14022.8603	6822	31
12129.2221	6817	26.5
20896.7571	6788	21.5
30970.7148	6779	28
18855.2528	6763	38
29820.1641	6749	24
16366.3453	6731	32
18453.5129	6703	43.5
13864.5023	6696	32
11341.3763	6610	32
8594.356	6591	36.5
17080.6104	6583	27.5
6890.776	6555	32
27965.6571	6555	37
18644.0905	6517	38
25968.2432	6468	26
21486.9331	6468	38.5
8594.8568	6453	36.5
21828.9167	6445	41
13796.5127	6432	30.5
32729.6822	6431	33.5
26582.3803	6428	33
32872.5708	6423	33
17166.6121	6422	30.5
20719.1233	6415	20
13433.9412	6403	29
21880.8546	6400	34.5
8594.8618	6390	36
20188.417	6384	31.5
33016.2215	6378	41.5
21828.9171	6365	40.5
8595.3705	6354	36
10431.7078	6341	36
18401.6142	6337	30
12952.1411	6329	25.5
8476.5492	6327	27.5
24384.7948	6300	24.5
6643.8119	6286	13
9253.9905	6275	11.5
13796.5142	6271	31.5
12952.6492	6241	25.5
18790.2889	6239	38.5
16146.4911	6191	30
10431.2074	6173	36
21828.9099	6130	44
18434.4288	6115	34
32871.5922	6074	32
12252.3771	6066	25
9602.9049	6063	34.5
21820.1814	6046	38
4628.5113	6036	11.5
18839.2508	5998	37.5
20912.6136	5972	26.5
9418.7854	5962	34.5
19753.0205	5962	36
30031.8037	5926	37.5
34874.0334	5918	43.5
13803.5104	5861	32
15836.8532	5859	26
18917.3542	5852	28.5
13838.4968	5850	32.5
21939.8201	5849	34.5
21970.8061	5842	34.5
22155.2554	5841	29.5
12953.1516	5831	26
18490.4469	5784	34
9354.9457	5782	11
8644.6338	5779	28
11441.3424	5768	31.5
12952.6509	5762	26
13908.4883	5743	20.5
15185.8328	5737	30
16131.4834	5735	30.5
9384.1693	5728	11.5
15285.5241	5722	35
18782.2958	5688	38
13448.9281	5678	27
27677.5134	5675	37
24063.7111	5655	31.5
18854.2413	5641	37.5
32853.6053	5615	32
21828.9053	5612	44.5
15243.5031	5607	35
14047.3756	5564	38
12378.3332	5547	28.5
5878.0999	5523	16
18875.2602	5517	38
12534.565	5500	21.5
13494.8865	5500	28
25846.3004	5481	26
25861.2792	5463	25.5
18646.087	5460	37.5
25952.2431	5454	25.5
14086.5406	5453	34
8793.6039	5418	17.5
14758.6832	5405	32
25922.2706	5395	24.5
9609.8238	5393	17.5
33039.2042	5366	42
18941.9118	5341	28
32996.2253	5315	43
15355.5405	5296	35.5
26005.2223	5292	25.5
24365.3828	5290	25.5
13880.4793	5284	32
22462.8692	5279	23
18688.357	5242	42
21762.965	5220	22
27993.6561	5216	37
8102.429	5207	11
18873.2815	5191	37.5
21785.7908	5190	35
14416.4392	5171	30.5
14178.4075	5151	37.5
12505.8426	5132	22.5
32694.5738	5132	32
21917.8355	5131	35
20823.8507	5112	21.5
13864.5135	5107	32.5
12531.6166	5094	27.5
24003.7308	5076	31
16405.8284	5047	31.5
36053.877	5038	29
15392.7398	5032	26.5
21828.9005	5002	45
11319.6716	4999	37.5
26064.2336	4979	26
20975.712	4977	21.5
6716.984	4963	28
4755.4399	4950	17.5
10143.2713	4929	19
9453.8353	4928	18.5
8321.4505	4916	11.5
9974.0581	4915	29.5
7277.335	4914	35
17063.8906	4904	33.5
7276.6646	4901	35
22547.4961	4890	30
11416.3485	4880	31.5
26293.5462	4861	26
21892.9018	4829	33.5
4755.9397	4823	17.5
11357.3723	4822	30.5
9310.9138	4795	11
9297.9897	4790	11.5
21939.8285	4790	35
41832.8217	4765	40.5
11375.3579	4749	31
32978.2221	4748	42
11833.0201	4736	12.5
24002.7373	4732	30.5
28195.868	4729	42
8081.6811	4711	21.5
16852.5727	4707	36.5
33950.814	4703	42
15445.8861	4668	27.5
21973.8021	4666	35
21826.9051	4655	43.5
30932.7367	4632	27.5
15299.526	4622	35
18918.3355	4606	29.5
18842.3256	4605	38.5
41635.6962	4587	39.5
9345.1931	4574	38.5
6717.4843	4567	28
30970.718	4536	27.5
21796.8707	4533	34.5
14698.9126	4522	32.5
21252.2776	4513	23.5
11395.3469	4508	31
13238.0036	4487	13.5
13911.7795	4487	31
15402.8187	4482	27
29740.2019	4480	24
15509.6243	4457	18.5
18635.8138	4455	30.5
34874.0451	4452	43
18710.344	4449	39
15445.8825	4448	28
21602.9597	4420	35
9354.9449	4408	11.5
41864.7952	4407	40.5
11500.9627	4406	21.5
12545.6132	4398	27
30872.7505	4392	27.5
27633.5289	4379	37.5
27948.6718	4351	37.5
32772.6336	4321	32.5
18824.3119	4316	38.5
25808.3112	4302	26
24045.7217	4302	31
41831.8156	4292	40
14474.1263	4291	32
21828.9165	4288	43
16405.3274	4284	31.5
11309.0732	4283	22
15229.3253	4282	23
21102.7757	4278	22
15445.379	4263	27.5
20613.136	4249	34
26005.2291	4228	26
15045.376	4226	32
32672.6568	4225	32
18424.4366	4211	34
11753.0454	4204	12.5
12411.2605	4191	23
13445.9337	4189	28
31328.9982	4175	28.5
21849.7811	4166	32.5
15314.5319	4166	35
21828.9132	4157	45.5
13905.4982	4116	32
9435.8277	4108	17.5
8636.1088	4107	26
21898.8488	4102	35
24083.6937	4101	31
5713.3161	4098	22.5
18977.4339	4088	37.5
14589.7234	4081	26
17624.0208	4074	14.5
18752.3339	4066	36
15445.3811	4065	28
21828.9174	4061	42
9344.694	4054	38.5
26064.2287	4053	25.5
21893.8849	4037	34
17746.5612	4033	29
13532.8751	4028	28
20891.7809	4014	22
17162.6176	4011	30
18330.946	4007	21
17223.6842	4006	36
13952.7697	3999	31
9310.915	3993	11.5
12258.1857	3992	24
28092.694	3985	35
11315.3625	3958	30
7788.9329	3946	21
21813.9006	3923	35.5
21331.7954	3921	22.5
20715.322	3914	36
20903.811	3903	23
18906.3903	3901	38
18743.8984	3899	28
14059.8261	3889	31
22548.5026	3885	30.5
29740.1948	3883	24.5
12395.2776	3879	23
8636.4619	3858	26
20761.1315	3854	20
15657.6795	3852	19.5
8573.5991	3850	28.5
21022.8011	3848	22
18752.3376	3843	36.5
12454.5879	3840	22
18768.3281	3823	35.5
10914.4673	3800	35.5
11375.3611	3765	31.5
11111.5004	3760	26.5
9384.1714	3758	11
16269.8293	3745	20.5
25825.3128	3733	25
25953.2474	3731	26
4395.1968	3730	20.5
26022.2449	3729	25.5
13495.8965	3729	27.5
27979.6462	3716	37
12876.0281	3710	26.5
9550.8254	3707	17.5
21876.8762	3705	35.5
7277.0091	3704	34.5
19959.9965	3692	33
32729.6938	3692	34
9335.6836	3690	37.5
10914.9633	3689	35.5
18819.2713	3684	37.5
20921.8142	3668	22
18688.3618	3664	43
21962.8245	3663	35
25860.2836	3660	26
5878.0988	3656	16.5
11333.6864	3656	37.5
10692.34	3653	23.5
35882.1313	3653	41
23719.4299	3650	26
32791.6481	3645	31.5
24364.3845	3636	25
16940.1263	3627	25.5
9335.6869	3620	38
9492.8369	3614	17.5
20749.8865	3610	23.5
11590.1299	3597	19.5
13834.4884	3583	32
4869.5376	3582	16.5
23768.5357	3579	39.5
12307.9182	3568	24
9418.1724	3563	11.5
25842.3064	3561	25
16405.8219	3547	32
13850.5033	3545	32
11532.3464	3534	22.5
32240.6843	3530	43
14047.3732	3527	38.5
12913.665	3522	25.5
15323.8777	3516	26.5
36526.095	3513	41
17823.1535	3509	14.5
27664.5135	3499	37
28925.7019	3493	31
33046.5742	3482	33
32891.5854	3481	32.5
8476.5472	3456	28
15369.538	3440	35.5
18812.2681	3438	38.5
12250.2134	3429	40.5
18865.2574	3427	38
10910.2331	3423	32
21988.8016	3416	34.5
18389.4485	3413	35
25679.1562	3412	25.5
34558.3167	3408	24.5
6875.269	3406	32
30872.7398	3399	28
15064.8666	3383	30
18894.2359	3376	38
16405.3247	3370	32
11139.8426	3367	21
13646.6634	3362	25
12913.1663	3361	25.5
8636.7783	3349	26
14861.8131	3342	35.5
7276.3406	3328	34.5
33011.6036	3324	33
10537.5292	3323	12
32853.621	3321	31.5
18703.3499	3306	38.5
17870.8275	3285	31.5
30952.727	3281	27.5
9335.1874	3278	38
9260.7178	3277	34.5
16819.4304	3274	39.5
15348.0812	3273	31
18453.402	3254	34
5974.2394	3248	14.5
18688.3534	3243	43.5
9411.8666	3233	20.5
33187.9116	3218	34.5
18833.2643	3205	38
9319.9592	3199	11
10904.9533	3197	35
17117.6696	3178	36
9355.6919	3172	37.5
35980.9513	3169	28
15159.8198	3156	26.5
10904.9527	3153	34.5
9355.1881	3143	37.5
21849.7869	3136	32
13238.0014	3134	14
26022.2453	3128	26
24384.7907	3126	25
13796.5113	3123	28.5
41793.8174	3116	40.5
14711.4853	3111	43
11465.3545	3102	31.5
35933.9639	3084	28.5
21908.8766	3082	34
21993.8084	3078	35
9564.7861	3066	17.5
20905.3545	3066	36
35959.9743	3064	28.5
17302.0159	3054	33
9323.7942	3053	18.5
16940.1271	3051	26.5
25872.2797	3039	25.5
24543.5434	3035	34
32996.2127	3023	43.5
12505.8418	2997	22
13158.0332	2995	14
24045.7206	2994	30.5
23566.3762	2992	23
10905.4572	2992	34.5
32672.6696	2991	33
18688.3546	2989	44
22587.9077	2982	23
9255.9882	2981	12
9293.9557	2968	11
20276.5611	2963	32.5
28789.248	2961	34.5
14323.4634	2944	27.5
9355.6863	2944	38
13980.3966	2942	19.5
8589.6	2942	27
11236.8609	2940	25.5
21454.9395	2938	38.5
12373.2393	2916	24
10021.3736	2913	24
11991.3784	2911	31
6874.7732	2909	32
15102.2309	2905	23
8705.6865	2901	21
10341.6691	2899	23
33060.1819	2896	42
21848.9022	2888	36
18631.269	2888	38
10134.4537	2881	24
32791.618	2877	32.5
32774.6524	2867	31.5
28011.6451	2867	37
15348.0733	2860	30
18906.3784	2856	37.5
17618.8236	2852	30
13478.901	2850	27.5
18894.2354	2849	37.5
7528.7788	2848	19.5
35882.1423	2844	40.5
13476.8966	2826	28
28415.4457	2826	32.5
18743.2986	2824	38.5
25906.2874	2809	27.5
13524.6321	2805	26
8691.8898	2803	21
18955.462	2787	38
27695.4997	2785	37
36004.8947	2772	28
41863.7938	2770	40
27931.6425	2764	37
10520.4275	2752	19.5
10160.1312	2750	21
21960.8201	2747	34.5
6882.7699	2732	32
9385.1665	2732	38
30006.9336	2729	29
23967.7485	2725	31
20823.8483	2723	23
13905.5139	2722	32.5
20188.423	2720	30.5
34874.0328	2719	44
22466.8924	2701	23.5
13765.5045	2694	33
27616.5262	2690	37
15240.7917	2688	27
9356.1865	2676	38
32890.59	2675	32
24082.6909	2673	30.5
9319.9611	2667	11.5
35686.0854	2666	28.5
37377.7334	2655	38
9385.6668	2654	38
7824.8175	2651	20
14065.8529	2648	31.5
36053.8723	2640	28.5
14078.5068	2639	24
30932.7224	2638	28
17460.9257	2630	31.5
13291.1924	2622	33
6350.3449	2607	24
13635.1586	2607	29
20878.3853	2607	35.5
10137.4154	2591	21.5
25904.458	2590	42
32833.6223	2589	32.5
12524.853	2562	22.5
32712.6718	2561	32.5
25679.1648	2555	26
15327.53	2554	35
23965.7567	2553	30.5
25903.9815	2553	42
6883.2689	2546	32
13486.858	2541	28
10094.721	2539	31
18768.3226	2537	37
12375.2551	2536	24.5
4629.0109	2535	11
11991.8705	2531	31
16132.1619	2523	20.5
37376.732	2512	37.5
11407.069	2502	26
20402.1	2502	36
33042.2019	2500	41.5
14958.5714	2499	33
14575.7072	2496	26.5
13345.3031	2494	33
13850.5081	2483	32.5
23745.1004	2477	36.5
12428.225	2467	23
12617.2541	2467	24
37073.587	2466	41.5
16498.6106	2465	42
18454.5105	2464	44
16269.8293	2460	20
16134.4462	2460	40.5
21486.9283	2457	39
8775.6718	2452	27.5
24876.1403	2444	43
27579.0066	2437	39
13023.9098	2431	34
43316.1232	2430	36
14368.5311	2427	30
29794.6764	2423	30
18490.4607	2422	35
21744.9565	2421	22.5
13908.4913	2414	21
18784.3104	2414	37
9510.8532	2413	19
8572.8249	2408	30.5
18630.2474	2407	37.5
16983.0108	2406	22.5
15065.8834	2406	31
12473.2403	2405	23
13291.6969	2403	33
17746.5686	2392	30
16435.9838	2388	23
17870.8366	2386	30.5
8608.4901	2384	26
39503.0402	2380	36.5
18818.2835	2380	38
10498.2791	2377	36
14104.8386	2374	31.5
22389.9413	2373	24
16498.1125	2371	42
18688.3479	2371	44.5
12404.2027	2364	24
32874.6023	2358	31.5
20276.7874	2355	34.5
21887.8628	2354	35.5
13987.4367	2350	29
6716.9797	2346	27.5
27579.5061	2346	39
10910.8957	2343	32
10927.4593	2343	34.5
22537.4562	2330	30
32911.5828	2330	32
8278.0969	2329	23
20276.7806	2328	35
9483.7706	2326	18.5
18864.2536	2326	37.5
15297.0076	2325	33
21876.9011	2318	33.5
7824.3148	2317	20
23789.5262	2314	39
20936.8044	2311	22
15229.4853	2307	35
17251.6646	2304	36
15375.7456	2294	27.5
21726.7839	2290	28.5
10094.2101	2287	31
20209.4018	2285	31
10927.9577	2283	34.5
9365.1766	2278	37.5
6717.4878	2274	27.5
21772.786	2274	34.5
19957.9886	2273	31.5
26398.4915	2273	40.5
20841.8563	2270	22
13432.9424	2270	29.5
11735.0441	2266	24.5
21789.192	2264	38.5
22773.0105	2259	36
8573.3251	2253	30.5
14699.9307	2251	33.5
18928.4014	2248	38
16435.9883	2242	23.5
10498.3007	2239	35.5
21908.8852	2237	33
5463.9557	2234	17
37074.5699	2229	41
30952.7096	2227	28
20862.3952	2225	35.5
31330.0034	2223	28
9418.1783	2218	11
11332.2095	2209	41.5
18768.328	2208	36
9365.1763	2204	38
8775.6758	2202	28
13880.4848	2202	32.5
17207.6913	2194	36.5
9363.8827	2172	37.5
23751.5322	2171	39
9468.8279	2170	17.5
18421.9962	2156	19.5
16365.8372	2155	32.5
33079.1744	2147	42
13999.8497	2144	32
20630.1364	2138	33
18785.3211	2138	35.5
12506.5777	2134	21.5
12470.1952	2131	23.5
10835.8274	2128	27.5
20275.5708	2128	32
11276.664	2125	37.5
16090.1557	2124	20.5
20862.3944	2117	37
41880.7888	2111	40.5
36031.8893	2108	28
15422.7402	2107	26.5
16134.446	2107	41
11414.1287	2106	22.5
18475.4931	2106	43.5
11383.3886	2103	32
8180.6174	2097	20.5
11991.8804	2089	30.5
12338.1901	2088	24
5827.1694	2085	14
20632.1461	2084	34.5
29431.8947	2083	34
13562.1091	2082	14
13890.7996	2079	30.5
12913.6651	2072	26
37476.7392	2072	27
25837.3655	2072	34
32997.2195	2071	44
25904.4589	2064	41.5
20829.2058	2059	23
32729.6707	2056	35.5
9609.8697	2055	18.5
13980.3929	2046	20
13962.8629	2041	32
17288.6773	2041	36
25825.3194	2040	27
11319.6744	2040	38
18801.2865	2038	38.5
11753.0409	2036	12
20903.8216	2036	23.5
8301.505	2034	11
9418.7855	2032	34
20962.3783	2030	36
18955.4666	2030	37.5
32240.7025	2029	42
35980.9639	2028	27.5
36070.8923	2028	29
19725.4078	2027	39
13960.8288	2013	31.5
26269.4456	2013	40
15342.5322	2011	35
16365.3377	2009	32.5
11992.3862	2006	30.5
16216.5921	2004	24
14711.4799	1998	43.5
23765.0824	1996	36
17128.6165	1992	30.5
11452.3479	1991	31.5
11424.3465	1986	31
18843.3608	1984	39
41844.8023	1981	41
32810.6366	1974	33
13480.9142	1971	26.5
12031.8695	1966	31
25903.9888	1960	41.5
11409.3643	1959	31.5
14107.4436	1958	20
11266.0539	1957	21.5
18688.3806	1954	37
18521.4132	1953	34
20170.4099	1949	31
9365.6719	1948	38
9364.6774	1947	37.5
12324.193	1944	24
18724.3236	1942	38.5
20401.3041	1940	35
24237.3246	1939	26
21802.9478	1937	22.5
22410.9309	1937	23
17768.553	1933	29.5
12338.203	1931	24.5
41813.8293	1918	41.5
12032.3649	1917	31
12545.6126	1916	27.5
18769.3128	1916	39
14117.8126	1911	31
14020.8712	1902	31.5
4628.5102	1899	11
4395.201	1899	20
24021.7193	1896	30.5
14089.8351	1890	31
33294.3557	1886	42
18737.3406	1885	36
20856.8394	1881	22
17767.8754	1880	19.5
12269.2429	1876	24.5
25871.2868	1876	26
32712.6815	1870	31.5
11305.657	1862	37.5
9376.6683	1857	38
15357.7496	1856	26.5
8151.9996	1856	27
