Expt'l Mr (Da)	I	RT
18688.364	2562121	38
18688.3641	2287299	37.5
21828.9093	1430768	34.5
21828.9097	1183848	35
13432.9311	541744	28
32729.6844	471515	32
9256.9993	343554	11
18689.3567	339312	38.5
13780.5224	322737	32
25906.2793	316354	25.5
9510.8595	283912	17.5
25905.281	273785	26
13432.9344	271095	27.5
9256.9953	270973	11.5
18708.3524	258015	37.5
18710.3497	206617	38
11298.3681	188134	31
11298.3684	186171	31.5
17188.7029	176992	36
18390.4548	158528	34
21847.8975	147155	34.5
11341.3796	140798	31.5
14007.8945	139478	31.5
13765.5112	139289	32
8081.6782	136091	20.5
12372.2947	134817	23
25826.3133	133505	25.5
18769.3188	132239	38
13890.7971	128344	31
20862.3897	127487	36
21828.9062	126054	35.5
32729.6728	119647	32.5
13780.516	115911	32.5
17145.626	112279	30.5
17188.7045	111120	36.5
9402.1793	108827	11.5
8573.601	104870	27.5
17041.9043	101200	33.5
32996.2243	97181	42
23983.7446	96179	31
13997.8494	95774	31
12454.5857	94310	22.5
21849.8929	90842	35
15375.7534	89919	26.5
25826.3183	89688	26
13750.5114	89271	32
9489.8239	88131	34.5
30890.7622	87340	27.5
11341.3785	85182	31
32809.648	84438	31.5
15110.0261	82264	31
8081.6777	81839	21
15375.7536	78744	27
9402.1849	77105	11
18732.3256	76574	38
18731.327	76145	37.5
9453.8376	71116	17.5
30890.7539	71075	28
14759.6797	69754	32.5
23983.7467	65287	30.5
32809.6456	64484	32
13890.7964	63576	31.5
24063.7102	63102	31
8573.5999	62965	28
18671.354	61075	38
13022.9067	58704	33
13630.6731	56710	25
21761.9611	56467	22.5
13796.5147	54847	32
17041.9027	53915	34
21844.9119	53721	34
18432.5239	53625	43.5
18688.3545	53615	39
10692.338	53208	23
18769.3079	52645	37.5
18752.3105	52195	38
9489.8262	51766	34
18671.3526	50851	37.5
41813.8325	50440	40.5
14178.4117	48966	38
8241.4852	48893	11
20188.4168	48337	31
12644.6824	47598	27
21812.8986	47533	34.5
11312.3829	47450	31
12376.3052	46358	23
18702.3585	45918	37.5
10137.416	45908	20.5
18752.3092	45751	37.5
18704.359	45640	37
32729.6822	45370	31.5
13765.5059	45092	32.5
10914.962	44662	34.5
11313.3853	44595	31.5
15390.092	44459	30.5
19957.987	44280	30.5
19961.0124	43471	33.5
21871.8715	43050	34.5
20903.8179	43030	22
13780.5215	42377	31.5
14767.0133	41950	25
