Expt'l Mr (Da)	I	RT
32729.6752	282265	32
42942.8583	184383	33.5
41813.8314	161777	40.5
32729.664	78551	32.5
41813.8447	73458	40
18432.5227	72818	43.5
32996.2136	63588	42
5447.9588	61299	17.5
47455.4672	60663	34.5
5447.9598	59621	17
18688.3528	57624	38
42942.8392	50358	33
18432.5217	46860	44
41844.8083	44383	40.5
21761.9659	41206	22.5
32809.6249	39469	31.5
42942.8596	29758	34
27579.5171	27413	38.5
27579.0162	26993	38.5
32809.633	25835	32
32751.6639	25425	32
41813.83	24815	41
41833.8319	22547	40
42965.8479	22494	33.5
47455.4565	21040	35
32996.2115	18369	42.5
18386.0111	17337	38.5
41832.8214	17145	40.5
41848.8198	16845	40
18385.3494	16817	38.5
42960.8328	16667	33
32729.6569	16410	31.5
32997.2134	16138	41.5
42922.8572	15695	33.5
30031.7967	15345	37.5
25449.2809	15117	35
25448.7801	14694	35
18688.3575	14151	37.5
9363.9011	13980	37
18385.6797	13797	38.5
41863.8021	13701	40.5
10267.4444	11907	35.5
47313.3881	11664	34.5
47476.4655	10903	34.5
41793.8177	10448	40.5
21762.9639	10150	23
14617.157	10037	34
32772.6423	9882	32
42986.8329	9765	33.5
47455.4685	9672	35.5
34874.0295	9440	43
41635.6939	9344	39.5
42989.8158	9343	33
47208.2565	9220	36.5
18452.513	9169	43.5
23982.7394	9110	31
16966.517	9075	35
16966.8563	9074	35
16966.1805	9012	35
21262.7107	8984	23
32671.6424	8652	32.5
33018.2033	8591	42
27579.02	8188	39
32750.6479	8052	32.5
27579.5157	8041	39
10341.6681	8030	23
13780.5195	7882	32
5713.3179	7736	22.5
32711.7032	7595	32
21828.9173	7554	34.5
41864.8146	7495	40
11032.8084	7417	38.5
32791.6283	7272	32
32699.5997	7184	32.5
5878.0945	7164	16.5
41879.7897	7069	40.5
21262.7165	7054	22.5
47578.3837	6948	28
34874.0247	6878	43.5
16365.8405	6781	32
41845.8097	6779	41
16365.3365	6665	32
21778.9734	6468	22.5
20761.1332	6421	20.5
21828.9201	6321	35
47578.3667	6286	28.5
47216.3437	6269	34.5
11332.1995	6208	41.5
32576.5751	6158	26
20907.4152	6121	40.5
20906.9148	6056	40.5
46813.2424	6049	37.5
43004.8117	5974	33.5
32830.6037	5972	32
24609.9729	5841	43
5782.036	5779	17.5
41813.8278	5676	41.5
24609.9777	5653	43.5
10181.1172	5629	35
32871.5677	5608	32.5
10181.3261	5465	35
32747.6539	5377	31.5
43316.1213	5152	36
41896.7762	5058	40.5
14617.159	4925	33.5
18453.5094	4905	44
32730.6723	4844	33
4395.2037	4790	20.5
41793.8244	4764	40
33950.7984	4677	41.5
7528.7766	4675	19.5
32529.5468	4626	31.5
32830.619	4620	31.5
43023.8074	4589	33.5
33015.2158	4566	41.5
5713.3164	4516	23
20719.1278	4496	20.5
4869.5352	4424	16.5
29845.9631	4386	27.5
3108.3251	4324	38.5
18709.3434	4307	38
6738.4785	4207	40
42922.831	4149	33
38875.7168	4094	37.5
24063.7124	4093	31
18386.0165	4091	39
25071.9392	4074	36.5
47499.4455	4048	34.5
41880.7979	4029	40
30031.7872	4006	38
11031.8172	3995	39
17188.7021	3963	36.5
41360.4565	3901	38
25072.4414	3897	36.5
34874.0278	3826	44
46149.7882	3803	25
16983.0165	3761	22.5
32809.6195	3756	32.5
23900.7552	3729	31
42942.8483	3722	34.5
47455.4543	3664	36
5782.0349	3661	18
32997.2106	3643	43
41829.8111	3583	39.5
41690.7411	3567	39.5
41813.8171	3506	42
47435.4399	3454	34.5
38875.7166	3426	38
43045.7991	3423	33.5
33039.1895	3414	42
42975.8225	3407	33
9255.9913	3391	11
16714.9654	3379	36.5
16714.2857	3354	36.5
32851.5884	3341	32
46754.9814	3299	39
43007.8032	3268	33
32773.6332	3228	32.5
16714.6301	3128	36.5
41918.766	3110	40.5
47313.3751	3101	35
32698.6211	3100	32
10729.2561	3087	42
33263.3625	3079	42
41833.8212	3063	41
35882.1317	3036	41
33263.362	2983	42.5
16983.014	2977	23
6350.3437	2968	24
32978.2221	2935	42
13790.2664	2908	38.5
42958.8094	2840	32.5
42965.8302	2834	34
21332.8044	2830	22.5
7788.9296	2813	21
32870.5827	2774	32
25449.2873	2754	34.5
25449.779	2733	34.5
10234.6193	2725	23
41896.7937	2673	40
18475.491	2654	43.5
5878.0955	2625	16
26398.4949	2605	40
13780.5154	2603	32.5
27121.1074	2565	32.5
10911.2273	2561	32
27120.6284	2554	32.5
33950.801	2540	42
15528.9408	2526	23
30312.7713	2503	33.5
16365.3303	2473	32.5
5479.9474	2450	17
10910.5722	2440	32
10698.6538	2438	25
29845.9675	2428	27
25905.2794	2426	25.5
5463.9531	2406	17
18433.5271	2405	44.5
42312.998	2364	40.5
4243.2978	2350	39
6358.1835	2332	40.5
41635.7019	2316	39
47472.4696	2302	34
8705.6897	2258	21
42189.0444	2252	40.5
33227.8351	2208	32
32687.4468	2204	32
49097.4185	2193	40
18706.3528	2172	37.5
42903.7255	2166	33.5
11332.1981	2158	42
13432.9335	2153	28
30311.262	2151	33.5
47208.2684	2151	37
32791.6143	2142	32.5
28719.2537	2101	35.5
10910.894	2095	32
8573.5975	2094	28
46754.0072	2074	38.5
5695.0021	2044	18
42942.8363	2031	35
23606.1214	2019	36.5
41866.8139	2012	41
47518.4403	1995	34.5
16498.6053	1988	42
41813.813	1987	42.5
5447.9563	1973	18
8135.1799	1972	24.5
25448.7847	1945	35.5
33494.3841	1942	42
33018.1984	1941	42.5
16499.1049	1929	42
18448.5207	1896	43
13765.5083	1895	32
42922.8228	1892	34
33059.1819	1890	42
10630.8603	1888	23
4395.2027	1881	20
45962.6979	1876	25
45962.7041	1864	25.5
25449.2888	1846	35.5
35882.1272	1831	40.5
16365.8342	1827	32.5
20188.413	1821	31
25071.9349	1813	37
46813.2269	1813	38
25071.4482	1807	37
47314.3728	1802	35.5
28414.4255	1784	32.5
43024.8057	1778	33
27578.5041	1768	39.5
9769.0654	1764	35.5
7788.929	1760	21.5
32852.5909	1757	31.5
43441.0226	1756	33.5
41772.5902	1742	40.5
32997.2178	1742	43.5
42940.8739	1733	35.5
47216.3311	1713	35
17247.5132	1701	17
28719.7274	1699	35.5
18699.6711	1692	43.5
18688.3675	1676	38.5
32913.6032	1656	32
9256.9916	1654	11.5
35140.1646	1653	43
32675.6325	1650	32
47455.4695	1646	34
43065.7756	1638	33.5
20922.9049	1637	40.5
21761.9538	1635	22
23605.6295	1633	36.5
28033.8044	1624	39.5
12724.8775	1623	35
47210.278	1607	36
30051.7787	1604	37.5
32791.6327	1565	31.5
32830.6075	1556	32.5
15818.4861	1553	35
20923.4002	1549	40.5
32764.6252	1548	31.5
20719.1232	1540	20
32713.6442	1537	32.5
16966.4998	1522	34.5
10631.3532	1512	23
15818.8233	1509	35
15820.1477	1508	35
32576.5575	1506	26.5
16404.8129	1506	32
22477.4131	1498	21.5
18080.726	1489	32.5
47455.4416	1482	36.5
47478.4356	1463	35
23728.2342	1460	35
21744.9743	1457	22.5
16405.317	1455	32
41812.8241	1446	43
34875.0253	1436	44.5
32997.2185	1431	44
25905.283	1425	26
47334.3777	1422	34.5
34893.0332	1422	43
8705.6868	1420	21.5
10029.5875	1416	36.5
13938.271	1414	40.5
5479.9449	1405	17.5
32891.5827	1404	32
33186.8864	1400	34.5
45016.5792	1399	36.5
27542.8868	1396	35.5
18475.4818	1395	44
5097.6432	1392	18
16405.8113	1389	31.5
41797.8193	1379	40.5
10341.6714	1374	22.5
6282.4279	1374	24.5
13937.9501	1371	40.5
34799.3571	1366	31.5
13938.6118	1366	40.5
23728.721	1363	35
27579.0249	1363	39.5
41942.7614	1353	40.5
31372.9161	1351	21
10881.6212	1349	45.5
33034.1995	1346	41.5
32616.5625	1342	31.5
41912.7897	1341	40
42976.8444	1340	33.5
10881.4891	1332	23
16077.5614	1330	16.5
26763.5017	1329	33
32729.6769	1317	33.5
43100.8021	1317	33.5
10880.9877	1311	23
43040.7678	1310	33
48184.586	1310	38
7172.7772	1308	41.5
6282.4269	1307	24
13750.5131	1301	32
41813.8278	1301	43.5
16405.3137	1290	31.5
36863.9896	1290	43.5
6358.188	1287	40
21471.9241	1284	33.5
3998.3207	1283	38.5
25825.3178	1263	25.5
26766.0192	1257	33
41845.7925	1251	41.5
18082.0886	1249	32.5
21471.4291	1249	33.5
6350.3412	1237	24.5
9363.9086	1234	37.5
27177.0146	1233	38.5
21802.9488	1230	22.5
20907.4161	1230	40
23606.16	1229	37
27121.6116	1227	33
46754.9622	1226	39.5
28033.2546	1220	39.5
20906.9207	1218	40
47552.4372	1213	34.5
47232.279	1211	36.5
31372.4182	1208	21
6022.2764	1204	23
41812.8149	1198	44
37382.6662	1183	38
9345.1797	1182	38
27543.4007	1178	35.5
45170.7684	1176	22
9344.6846	1174	38
47479.459	1164	35.5
42938.8421	1162	36
11298.3704	1160	31.5
3198.4448	1160	39
10882.4927	1159	22.5
28415.453	1148	32
27184.4855	1144	38.5
10618.6867	1141	25
25904.9865	1137	42.5
14247.4018	1131	23.5
33079.1717	1130	42
10881.9919	1125	22.5
16378.8348	1119	32
42080.9146	1119	40.5
42207.809	1117	33.5
43337.8663	1113	22
15528.9549	1105	22.5
34561.328	1103	24.5
16377.3247	1103	32
4782.5021	1102	16.5
18496.4703	1102	43.5
49099.4473	1097	39.5
43669.1271	1082	37.5
5463.9499	1081	17.5
32547.5461	1081	26
44463.4914	1068	22
42982.8421	1062	34
41793.8046	1062	41
