Expt'l Mr (Da)	I	RT
21762.9631	500131	22.5
42942.8653	366776	33.5
32729.69	363648	32
21262.7067	252896	23
42942.8499	195277	33
20761.1483	180179	20.5
41813.8536	177641	40.5
34560.3363	159276	24.5
32729.6967	146953	32.5
21761.96	142641	23
47454.4708	131579	34.5
21762.9535	128449	22
21261.7028	122936	22.5
20719.1384	119456	20.5
20719.1355	111411	20
41813.85	89733	40
18432.5311	88113	43.5
32996.2371	83983	42
21778.9686	82465	22.5
34479.3733	82138	25.5
47208.2597	77665	36.5
32809.6432	73993	31.5
42942.8748	68501	34
5447.9596	64346	17.5
20761.1454	63408	20
5447.9615	58003	17
43316.1395	54473	36
34560.3416	53258	25
18432.53	52964	44
18688.3665	49208	38
21332.7945	48371	22.5
41844.8321	47981	40.5
47455.4736	47877	35
41360.4814	45703	38
46813.2629	45532	37.5
34479.3739	43856	25
32809.6474	41139	32
42965.8544	40671	33.5
42962.8493	39694	33
46754.9983	39282	38.5
29448.0074	38242	27
32729.6759	37219	31.5
47208.2638	37101	36
27579.5246	37055	38.5
27579.0212	36660	38.5
22477.4209	34026	21.5
32996.2448	33709	41.5
29845.9735	33104	27.5
42922.8582	33025	33.5
32751.6762	32700	32
38875.7344	32282	37.5
23983.7475	31883	31
29794.6978	29889	30.5
41813.8423	29267	41
47313.3937	28174	34.5
41845.8294	27359	40
21744.9556	27117	22.5
29794.691	27002	30
21778.9696	24550	23
34431.2807	24176	24.5
21803.9477	23813	22.5
47476.4673	21799	34.5
29845.9782	21738	27
42988.8305	20809	33
21841.9196	20638	22.5
21778.9597	20365	22
10881.4907	19745	22.5
34209.6546	18662	33
42986.8396	18293	33.5
21261.7104	18104	23.5
21761.9691	17736	23.5
42922.8447	17285	33
30031.8119	16999	37.5
21860.8968	16984	22.5
28662.9831	16852	23.5
20761.1386	16819	21
38875.7334	16805	38
41831.8464	16805	40
46755.0144	16566	39
41832.8438	16474	40.5
34580.3228	16261	24.5
9363.9011	16084	37
47216.3427	15984	34.5
32996.2332	15757	42.5
34350.321	15575	25.5
21791.9596	15516	22.5
41635.7283	15433	39.5
18385.6863	15223	38.5
32751.6762	15066	32.5
18385.3426	14938	38.5
21720.9438	14730	22.5
14617.1598	14719	34
21332.7743	14425	23
41863.8218	14283	40.5
10880.9868	14248	22.5
22477.4301	14078	21
