Expt'l Mr (Da)	I	RT
21890.8772	17026	34.5
24017.746	16999	30.5
21890.8755	16791	35
20761.1525	16551	21
11992.3847	16395	31
25808.3354	16278	25.5
24109.6941	16183	31
29448.0146	16117	27
32872.6333	16045	31.5
13780.5296	15977	31.5
21860.916	15930	34.5
16132.1746	15831	21
41793.864	15827	40.5
46813.2832	15823	37.5
26293.5772	15771	25.5
21844.9225	15641	34
25905.297	15627	27
11992.3874	15607	30.5
15341.5543	15570	35.5
11992.8932	15537	31
20188.4305	15527	31.5
11992.8972	15433	30.5
25846.32	15417	26
32870.6274	15154	32
15271.5382	15014	35
34965.546	14981	38
25967.2636	14905	26
29695.888	14895	39
24125.6926	14855	31
32979.4597	14810	38
29820.206	14681	24.5
24109.7045	14678	30.5
32083.588	14664	30
25967.2665	14588	25.5
24610.0166	14231	44
32853.6297	14117	31.5
41863.8676	14087	40
16436.0029	14057	23
10267.4466	14020	35.5
20516.2088	13899	36.5
41691.7857	13804	39.5
21828.9359	13765	36.5
14617.1644	13755	33.5
22383.4914	13701	24
30912.7702	13691	28
20823.8589	13565	22.5
13822.5317	13544	32
20188.4448	13522	30.5
15243.5166	13516	35
26293.5729	13478	26
32791.6754	13454	31.5
32698.6545	13439	32
30052.8138	13435	37.5
33186.8985	13424	35
32240.7264	13400	42.5
15285.5402	13317	35
32729.7013	13255	34
23922.7907	13077	30.5
23473.3488	13068	26
35606.1572	13066	28.5
29820.1939	13006	24
33017.2546	12941	41.5
12032.3685	12882	31
21911.0902	12717	29.5
25808.3308	12716	26
21490.0403	12657	25
33950.8523	12621	41.5
24126.7027	12596	30.5
32892.6328	12572	32.5
23719.4487	12508	26
12031.8717	12422	31
24017.7366	12418	31
15509.6334	12384	18.5
12953.1587	12380	26
32712.7023	12367	32.5
24115.4833	12360	20
22548.5241	12267	30.5
13158.0407	12245	13.5
23903.7941	12239	31.5
20715.3445	12234	36
21778.001	12160	23
9363.9071	12139	37
32791.6672	12031	32.5
15357.4428	12005	23
23473.3579	11985	25.5
29431.9124	11977	34
15474.5703	11945	20
34874.0788	11926	43
20862.4029	11911	37
34542.372	11729	24.5
24097.7078	11705	30.5
30970.7424	11601	28
47454.4769	11593	35
32852.6357	11476	32
29794.707	11428	30
24145.4951	11397	20
21744.9729	11334	22.5
13821.5325	11308	32.5
24098.6982	11305	31
26211.3534	11289	29
25951.2718	11132	26
25864.3067	11111	25.5
46754.0393	11110	39
25905.3099	11081	25
15300.5423	11040	35
22388.9596	11009	24
32765.6728	10921	31.5
13995.8859	10920	31.5
18452.5415	10908	43.5
12032.372	10885	30.5
25904.4935	10877	41.5
21954.1079	10790	29.5
25868.476	10787	41
21602.9796	10764	34.5
25868.978	10758	41
15355.5582	10734	35.5
10431.2139	10675	36
18688.3765	10617	37.5
12913.1783	10541	25.5
25904.0007	10525	41.5
16404.8331	10468	31.5
21803.9725	10372	22.5
26064.2542	10253	26
9165.4849	10219	21.5
12031.8749	10215	30.5
16404.3318	10214	31.5
14411.5121	10197	22
10431.7161	10170	36
41880.8489	10158	40.5
12913.6779	10105	25.5
21828.9287	10063	37
29740.2283	10038	24
26005.2493	10013	26
32951.5546	9991	31
34431.3199	9986	25
20975.73	9958	22
9164.9837	9957	21.5
23768.5659	9926	39
36069.916	9920	29
21908.8579	9882	34.5
16940.129	9820	26.5
32830.6528	9819	32.5
25862.3048	9785	26
25842.3374	9773	25
23767.6887	9762	31
26005.2551	9702	25.5
14452.5165	9668	21.5
32688.4838	9667	32
23570.1392	9638	24.5
11332.2174	9622	41.5
13766.5106	9607	31.5
30003.0271	9589	30.5
12952.6558	9568	26
25952.2759	9529	25.5
21908.8535	9488	35
15102.2571	9485	23
20761.1539	9465	20
32711.6958	9374	31.5
15314.5442	9322	35
31171.1861	9276	36.5
16365.3583	9206	32.5
20884.3942	9195	36.5
21841.9425	9129	22.5
34595.3538	9102	24.5
16365.8595	9063	32.5
20150.6045	9025	27.5
12913.1785	8973	26
22467.9258	8967	23.5
24876.1664	8956	43.5
23923.7821	8932	31
47454.4779	8899	34.5
36053.9132	8879	28.5
34874.0789	8863	43.5
18635.8209	8853	31
13809.5312	8821	32
35960.0024	8816	28.5
36025.8846	8777	29
20905.3761	8726	36
10880.5001	8718	22.5
17188.7158	8690	37
18330.9554	8660	22
35932.9992	8652	28.5
35980.9907	8645	28
42965.8643	8645	33.5
41793.8771	8635	40
15117.8878	8611	36
23767.6923	8603	30.5
17269.665	8580	41
23939.7668	8541	30.5
12913.6782	8532	26
30006.9549	8491	29
20907.9423	8450	40.5
30872.7728	8422	27.5
17269.3302	8372	41
30931.7516	8368	27.5
17269.992	8366	41
10880.9979	8351	22.5
20908.4481	8350	40.5
15682.6755	8325	23.5
25836.3714	8315	34
18453.546	8282	44
28789.2768	8280	35
34621.3458	8185	24.5
27150.2083	8174	37.5
10925.4091	8101	32.5
33039.2424	8072	42
30970.7318	8002	27.5
21928.8409	7988	35
21860.9229	7985	22.5
35899.3755	7985	35.5
23847.6568	7941	31
32978.2707	7938	42
21860.9212	7929	35.5
16090.1689	7886	20.5
10910.9125	7867	32
24629.9991	7867	43
23566.4127	7825	23
32666.6764	7810	32
14154.7895	7793	22
20878.4091	7734	35.5
21022.8071	7733	22
21927.8456	7705	34.5
32676.6747	7700	32
30890.7776	7677	28.5
26022.2725	7674	26
32891.6468	7666	32
25906.3018	7657	27.5
21828.936	7653	37.5
21547.5236	7646	24.5
21861.9078	7634	35
21849.8067	7629	32
19753.039	7599	36.5
20896.7699	7596	21.5
29740.241	7546	24.5
23362.2161	7529	20
32729.7097	7526	35.5
24630.0019	7520	43.5
18709.3617	7494	38
17264.5134	7493	17
10910.5749	7433	32
25679.1797	7431	26
10911.2355	7402	32
18941.9288	7341	28.5
20962.4187	7333	37
33263.4097	7291	42
26211.3572	7278	28.5
25679.1842	7276	25.5
31171.1872	7264	36
41813.879	7239	41.5
16090.1665	7168	21
30664.5436	7168	34
18784.3448	7165	35.5
17766.8952	7153	19.5
20823.862	7145	21.5
16269.8462	7143	20.5
20890.786	7140	22
31431.6606	7130	37
13808.5301	7101	32.5
14048.9009	7096	31.5
20276.5861	7072	32
20779.1346	7057	20.5
23886.7813	7054	30.5
7995.2875	7031	30.5
12876.0324	7018	26.5
24145.6876	7018	31
30696.8824	6959	29
23983.7735	6928	32
33778.3107	6918	30
32729.707	6916	34.5
32892.6158	6891	31.5
32910.609	6876	31.5
21791.9806	6845	22.5
32809.6667	6841	33
25905.0167	6841	42
9257.0011	6835	11
24163.6761	6834	31
41897.8332	6824	40.5
26398.5242	6812	40
17624.0152	6792	15
21800.9035	6789	35
41880.8545	6787	40
15369.5529	6785	35.5
20921.8191	6765	22
23444.0934	6749	24.5
34461.3821	6745	24.5
24545.5597	6735	34
30872.7721	6686	28
17595.1318	6674	26.5
15409.3429	6662	29
21800.9028	6649	34.5
5878.0997	6648	16.5
26023.278	6645	25.5
22679.4722	6605	32.5
21346.508	6602	31
25625.2981	6594	29.5
16498.6326	6584	42
25904.5016	6582	42
38875.7513	6580	37.5
20840.8589	6544	22
19744.038	6542	18
34198.3289	6526	27
7995.6204	6524	31
16365.8526	6524	31.5
37476.7516	6498	27
21828.9421	6485	38
35686.1239	6483	28.5
14473.4988	6470	21.5
21102.7765	6432	22
22580.4884	6427	30
26063.2622	6371	25.5
32854.6448	6356	32.5
27580.0421	6354	38.5
24145.6947	6346	30.5
31431.663	6346	36.5
16499.1342	6338	42
32729.6931	6330	35
35980.1339	6314	36.5
35980.1309	6312	36
42942.8711	6308	33
25825.327	6306	27
27579.5422	6305	38.5
15648.6343	6301	20.5
42922.8591	6253	33.5
32752.6939	6239	33
37124.9308	6221	33.5
22477.4324	6082	21.5
32913.6529	6076	32
8020.9562	6060	31
23949.7594	6039	31
21332.8022	6007	23
34657.3239	6005	24.5
28788.271	6004	34
47455.4915	6003	35.5
17281.1919	5962	24.5
46755.038	5958	38.5
22462.8986	5947	23
10924.906	5943	32.5
43316.1664	5933	36.5
25922.3118	5907	24.5
16405.3422	5891	32
21848.9196	5885	35.5
25825.342	5882	25
32777.6707	5878	31.5
24153.5591	5867	27
13780.5285	5853	33
15647.6449	5849	19.5
30951.7357	5846	27.5
7995.6185	5846	30.5
24908.1622	5828	43
21720.9593	5813	22.5
27579.0439	5801	39
32889.6466	5767	33
15674.6875	5763	19
21762.9733	5755	22
41635.7364	5755	39
47208.2782	5741	37
17280.6898	5728	24.5
8021.6059	5725	31
35882.1701	5716	41
32913.6125	5690	32.5
38875.7519	5689	38
41635.744	5689	40
27579.5413	5644	39
23950.7688	5614	30.5
28656.3174	5610	30.5
20829.2091	5594	23.5
18386.3703	5588	38.5
25926.283	5561	26.5
30073.7956	5521	37.5
34209.6712	5513	33.5
13921.8851	5498	31.5
33263.4124	5487	42.5
34965.5508	5477	38.5
36003.9452	5472	28
16940.1455	5462	25.5
21820.9412	5458	22.5
18688.3781	5455	38.5
18401.6209	5413	30
21762.9913	5403	23.5
39780.7759	5393	25
23983.7645	5369	33
32729.7105	5362	36
18385.6999	5352	38.5
30932.7523	5334	28
32683.7429	5288	32.5
18386.015	5276	38.5
20742.1449	5275	20.5
41390.4898	5250	38
23983.7639	5224	30
15328.5468	5216	35
24000.0425	5200	24.5
29695.8889	5183	38.5
26582.4037	5182	34
25868.4824	5170	41.5
17269.9898	5155	41.5
34198.3375	5147	26.5
14087.8715	5141	31.5
20907.4485	5140	40
8635.4464	5129	25.5
23746.1371	5122	36
20170.4277	5115	31
4395.2027	5113	20.5
33039.2342	5113	41.5
30161.839	5083	37.5
17269.6673	5059	41.5
20209.4176	5040	31
23938.753	5039	31
16365.3519	5033	31.5
20963.3943	5026	36
17269.3315	5022	41.5
20925.3614	5020	36
25986.2584	5008	26.5
30003.0155	5005	30
14154.7886	5001	22.5
22173.25	4996	29.5
16405.8398	4993	32
18439.0019	4983	19
13997.8674	4982	30.5
41829.8514	4978	39.5
21281.7228	4954	23
10630.8706	4947	23
21881.877	4943	34.5
41418.4905	4933	38
15229.5011	4930	35
31330.0282	4895	28.5
23847.6617	4894	30.5
32730.7077	4884	36.5
25070.3029	4883	25.5
21861.9197	4872	34
20907.9457	4865	40
16132.1788	4861	20.5
35606.1502	4860	28
11951.906	4859	30.5
21881.8754	4854	35
32997.2582	4840	43
10631.3754	4833	23
12305.0101	4830	43
39264.2746	4822	33.5
20912.6271	4818	26.5
25888.281	4818	26.5
25873.3018	4793	26
41657.7355	4789	39.5
7828.859	4783	19
17767.8933	4753	20
17346.4678	4744	17
25768.9295	4744	41
25769.4323	4729	41
17680.8064	4725	29.5
10381.0873	4716	20.5
41813.8886	4713	42
8634.7916	4687	26
40453.8552	4652	35
15445.3881	4634	27.5
10432.2177	4612	36.5
25904.4946	4612	42.5
25906.3076	4610	28
21633.9152	4589	22.5
10380.5847	4586	20.5
41896.8484	4574	40
41915.8288	4574	40.5
8021.2684	4555	30.5
8635.4556	4545	26
20903.8302	4542	23
24908.1674	4538	43.5
32729.7032	4521	37
13630.6926	4517	24.5
25904.024	4510	42.5
20975.7305	4498	21.5
26373.5346	4492	26.5
23887.7643	4490	31
20719.142	4482	21
36069.9206	4476	28.5
23983.7717	4473	32.5
7276.3501	4473	35
7276.6696	4471	35
20856.8502	4455	22
36038.8949	4455	29
20806.8581	4446	22
23629.5949	4443	22
21244.73	4432	23
20832.5655	4431	23
33776.325	4428	30.5
32841.6768	4426	32.5
33950.8653	4420	42
17823.1511	4411	15
32951.5859	4409	31.5
41359.502	4373	38.5
32978.272	4372	41.5
29845.9919	4370	27
40442.794	4369	34
20715.3379	4365	36.5
25868.9865	4365	41.5
11951.4043	4362	30.5
24163.6866	4360	30.5
20645.5081	4354	18
27651.7782	4342	36
15445.8883	4334	27.5
15229.3579	4324	22.5
34874.085	4313	44
10431.7179	4312	36.5
15215.4994	4298	35.5
30952.7405	4297	28
27150.2141	4282	38
29431.9149	4280	34.5
34499.3887	4277	25
25687.5233	4241	28
36092.918	4237	29
42486.3062	4234	38
32697.6688	4227	33
20820.0963	4225	20.5
21952.8377	4214	35
28072.3618	4214	35
35666.547	4213	36.5
21841.9586	4201	23
24059.1276	4199	26
22587.9373	4189	23
5782.0434	4182	17.5
18432.5574	4178	44.5
35979.9799	4168	27.5
20860.0938	4156	20.5
20618.0906	4151	20.5
20402.1244	4142	36
13412.512	4141	30.5
21744.9743	4131	23
33060.2386	4130	42
32655.788	4129	32.5
23999.7594	4123	30
15857.2467	4084	37
14008.9028	4072	31
22420.9672	4035	23.5
15318.5054	4032	36.5
34608.3401	4028	24.5
22618.4484	4025	30
7275.9934	4024	35
20936.8074	4013	22
24063.7333	3999	32
32837.7093	3944	33
32083.6091	3931	30.5
20801.1231	3912	20.5
18330.9534	3899	21
17595.146	3892	25.5
32872.598	3878	33.5
41845.8502	3878	41
34640.3315	3860	24.5
11332.2199	3855	42
10094.2209	3852	31
28656.3068	3849	31
32654.8232	3838	32
20845.4138	3837	36
17639.8103	3829	29.5
32281.5482	3823	30
10093.7215	3822	31
26601.4005	3812	33
15445.3944	3801	28
34351.3454	3797	25
22411.9633	3772	23
25072.2772	3772	25
28415.4765	3772	32.5
31523.912	3771	35
21786.8388	3769	35
10341.6835	3763	23
16498.6298	3756	41.5
15333.515	3752	36.5
21828.9435	3751	38.5
42987.8542	3742	33.5
15409.3463	3739	28.5
36037.9092	3732	28.5
34580.3566	3728	25
11951.9069	3726	31
25906.3104	3723	28.5
13938.2863	3723	40.5
20962.4071	3721	36.5
26602.4037	3707	33.5
32979.4694	3694	38.5
32240.7427	3691	42
4869.5399	3689	16.5
21917.8557	3666	35
49098.4611	3654	40
13368.4869	3646	30.5
15445.891	3643	28
40362.8215	3638	34
32240.7192	3626	43
33018.2491	3623	42.5
21899.8702	3615	34.5
6322.3321	3609	34.5
36031.9391	3604	28
16146.5002	3602	30
20904.378	3589	36.5
21828.944	3580	39
20823.8691	3571	23
22682.993	3569	21.5
49097.4598	3564	39.5
30014.8396	3561	37.5
22512.389	3555	30
40443.8081	3548	34.5
23983.7584	3544	33.5
21940.8432	3525	34.5
30132.7995	3525	37.5
27776.576	3518	35.5
22042.1719	3501	29.5
31330.0236	3488	28
29795.7248	3483	30.5
22409.9559	3482	23.5
10631.8732	3465	22.5
11952.4096	3463	31
16019.0917	3461	21
24383.4203	3460	25.5
41812.8733	3458	42.5
25855.3206	3443	25.5
24000.0478	3430	24
25905.2985	3421	29
14036.8997	3417	31.5
32730.706	3404	37.5
28267.0923	3401	34.5
14429.5056	3393	21.5
28033.822	3388	39.5
46754.023	3382	39.5
35903.1681	3380	40.5
34226.3463	3378	27
18476.5173	3368	43.5
23362.2203	3367	19.5
32841.6487	3355	32
34461.3853	3344	25
8809.9262	3336	29.5
33942.1551	3336	37
28662.006	3328	23.5
30093.7789	3327	37.5
21953.8424	3319	34.5
32843.6436	3316	31.5
16499.131	3308	41.5
15357.4483	3306	22.5
13937.9613	3295	40.5
22458.8874	3291	23.5
46813.2833	3290	38
24506.8909	3281	27.5
13937.6244	3272	40.5
36023.9073	3270	28.5
8609.1341	3259	25.5
7828.3587	3257	19
10360.0776	3253	20.5
12305.5092	3252	43
15383.5486	3250	35.5
21602.9734	3245	35.5
5782.0422	3241	18
10359.5835	3239	20.5
21718.7917	3228	28
10631.3754	3227	22.5
21828.9409	3224	39.5
22247.2977	3216	22.5
10904.9725	3216	34.5
19242.3653	3214	27
28033.3104	3211	39.5
21802.9795	3208	23
23746.1361	3202	36.5
21940.8418	3196	35
24237.3441	3181	25.5
10904.9739	3174	35
18386.0435	3173	39
20922.9293	3172	40.5
34542.3586	3164	25
28072.3504	3160	34.5
9402.1867	3155	11
26288.2638	3144	27.5
14510.4665	3143	21.5
15664.6373	3136	20
16379.3507	3135	32
17654.8025	3126	29.5
30906.7757	3121	27
35914.9867	3120	28
17245.6538	3117	41
31003.9117	3115	27
32529.5835	3115	31.5
32927.392	3104	37.5
32809.6634	3100	33.5
34209.6652	3092	33
27892.2481	3090	22
32781.6715	3090	32
15711.6217	3085	20
16435.8034	3080	32.5
34226.3462	3074	26.5
21785.8177	3068	34.5
13921.8942	3062	32
34574.3468	3053	24
16436.3044	3052	32.5
21878.9192	3051	22.5
32729.7189	3051	38
33080.2253	3047	42
22473.4252	3035	30
34351.362	3020	25.5
23768.5688	3016	39.5
18476.5206	3013	44
27821.2249	3000	33.5
23983.7543	3000	34
21898.8703	2988	35
32672.7127	2985	33.5
34127.0883	2982	28.5
25512.1226	2966	35.5
22138.2444	2965	29.5
17246.3146	2960	41
10412.9369	2958	22
37449.7373	2958	27
42189.1086	2957	40.5
16376.8522	2956	32
22587.9301	2953	23.5
30988.7265	2951	27.5
20923.431	2949	40.5
13812.5195	2936	28
25868.488	2932	42
20880.8032	2931	22
10412.4361	2917	22
17245.9831	2909	41
15342.5464	2908	35
25867.9942	2895	42
25873.3051	2890	25.5
29579.8965	2887	34.5
16387.842	2883	32
32259.728	2883	42.5
35882.1849	2881	40
9363.9095	2858	37.5
25626.2925	2853	30
41912.8356	2842	40
32155.4941	2835	30
25955.2856	2811	25
25941.2954	2810	25
28659.8245	2808	36.5
18386.6938	2806	39
21917.8596	2794	34.5
22566.4856	2791	30
7172.7879	2787	41.5
8809.4274	2786	29.5
20862.4212	2784	35.5
7276.6706	2780	34.5
33207.8963	2779	34.5
32932.5923	2771	31.5
21491.0614	2770	24.5
33916.156	2768	37.5
10904.4825	2763	35
34496.3174	2742	24.5
10909.9154	2742	32.5
25769.4415	2742	41.5
7788.9329	2730	21
18959.9166	2730	27.5
17309.4886	2727	17
15016.4173	2725	37.5
32997.2579	2724	43.5
12311.076	2723	13
33915.1392	2722	37
32387.7723	2720	29
15755.6377	2716	19
17608.0337	2714	14.5
7528.7861	2712	19.5
28925.7267	2701	31
17746.5798	2688	30
17271.0017	2681	42.5
15015.9158	2669	37.5
37653.0964	2666	30
7859.3913	2662	25
17245.9818	2661	41.5
34526.2916	2650	24.5
28820.2697	2647	34.5
17280.1848	2643	25
7276.3469	2642	34.5
13750.5168	2640	31.5
20903.8421	2639	23.5
16593.4615	2632	34.5
10143.2786	2631	19
32901.2658	2629	38
25768.9392	2629	41.5
17269.6658	2620	42
22372.9994	2612	23
17246.3283	2605	41.5
40203.8998	2602	34
20862.4065	2596	37.5
9212.0154	2594	19
6476.8446	2590	25.5
41936.8071	2589	40.5
47209.3013	2587	36
21093.7091	2584	22.5
7858.8841	2582	25
9212.5176	2581	19
8608.7781	2579	25.5
17269.3431	2579	42
22323.1425	2568	31
10924.9001	2562	32
6110.6718	2558	21.5
49171.9798	2558	40
17270.3468	2547	42.5
10914.5788	2545	32.5
25826.3329	2543	27.5
34685.334	2537	24.5
43296.1568	2534	36
22371.9782	2525	23.5
33060.2258	2522	41.5
34513.2658	2513	24.5
14340.4696	2508	21.5
8608.4764	2502	25.5
7995.6042	2499	31.5
14038.8757	2496	31
17099.6411	2493	27
32839.5743	2492	35
22539.4689	2487	29.5
25905.3045	2471	29.5
42487.3114	2466	38.5
29250.2437	2465	34
10451.4174	2459	22
33127.6046	2458	31.5
33096.2353	2456	42
20953.7942	2454	22
36131.9502	2451	28
10915.2187	2446	32.5
10914.9684	2446	35.5
25943.2698	2445	26.5
10871.9896	2439	22.5
24063.7265	2439	33
32257.746	2422	42
7276.9988	2419	34.5
41674.7334	2419	39.5
10871.4826	2418	22.5
41689.7875	2418	40
9769.0759	2416	35.5
8624.2695	2401	17
29839.1873	2398	24
24063.7324	2398	32.5
24402.8071	2397	24.5
26213.3587	2391	29.5
10925.4167	2383	32
6890.2749	2381	32
6476.096	2368	25.5
30047.812	2364	37
18439.9993	2359	19.5
41714.7426	2356	39.5
18182.879	2354	21
21970.8282	2354	35
28658.821	2349	37
35547.1761	2346	28
4366.0045	2342	35
17269.658	2335	42.5
16592.9464	2323	34.5
22773.0288	2323	37
6109.9987	2321	21.5
16323.9773	2321	27
11194.4994	2315	23
8152.0081	2315	27
21859.9213	2310	23
10729.283	2307	42
17280.6854	2305	25
30991.7223	2287	28
8152.5088	2286	27
41553.6927	2279	37.5
10880.9947	2273	23
36001.9484	2272	27.5
10451.9171	2265	22
10914.4811	2264	35.5
9257.0002	2263	11.5
10075.3079	2257	27
43006.8258	2255	33.5
12114.8599	2248	20.5
42960.8742	2244	33
10075.8086	2243	27
22217.2369	2241	29.5
43340.1482	2234	36
20022.548	2228	27
35885.2335	2228	30
25904.0215	2225	43
36081.9217	2222	29
16389.3377	2222	32
30052.8092	2219	38
17270.0173	2219	42
20956.3125	2218	31
38490.8162	2217	36
41379.4885	2216	38
32996.2656	2212	44
6890.7796	2207	32
30006.9603	2204	28.5
32880.6373	2203	32
18769.3339	2196	38
25451.046	2194	26
21728.8025	2190	28
22461.8606	2188	21
15361.5231	2183	36.5
7254.3469	2181	22.5
40363.8423	2175	34.5
9344.6981	2174	38
21911.0926	2166	30
18182.8833	2164	21.5
41761.7166	2161	40.5
37105.9082	2160	34
41812.876	2157	43.5
37492.7634	2154	27
17247.5229	2153	18
8624.7677	2151	17
32809.6641	2151	34
7994.9379	2150	31.5
22460.8646	2145	21.5
34449.3449	2145	24.5
21877.9074	2140	34
12942.6629	2138	25.5
30890.783	2134	29
21726.8128	2131	28.5
28415.4769	2130	32
16406.8369	2118	32.5
18390.4639	2113	34
25903.489	2102	43
15347.523	2100	36.5
34559.3591	2099	24
8594.8655	2099	36.5
12943.1668	2098	25.5
16364.9573	2097	23.5
15694.6541	2091	19
36017.9464	2090	28
36158.9565	2087	28
11194.9964	2081	23
32828.2144	2078	40.5
34127.0936	2076	29.5
41813.87	2075	43
40804.1198	2071	37.5
24653.9971	2071	43.5
28032.3236	2069	39
16405.3383	2065	32.5
18349.9514	2063	21.5
5878.0988	2062	16
18457.9837	2062	19
21133.6874	2060	23
32751.7059	2058	33.5
22412.9702	2057	22
30151.2395	2056	34
36086.9393	2052	28.5
41850.8326	2052	39.5
20907.9346	2051	41
10927.4662	2046	35
7828.8566	2037	19.5
24365.3964	2036	26
17640.0258	2029	14.5
41690.7806	2026	39
18705.3662	2024	37.5
25141.8	2021	26
20171.5892	2020	27
