Expt'l Mr (Da)	I	RT
32729.7175	1175675	32
21828.9303	1012528	35
21828.934	948915	34.5
23983.7622	676158	31
23983.7699	641282	30.5
25906.3057	622760	26
25905.3079	589368	25.5
32729.7157	495353	32.5
24063.7265	440988	31
32809.6697	332554	31.5
20862.4092	312791	36
24063.7348	307830	30.5
25825.3411	286063	25.5
41813.8869	245108	40.5
25826.3379	237017	26
23903.8032	226880	30.5
21762.9837	224633	22.5
13780.5348	188519	32
23903.7967	182520	31
34560.3811	178112	24.5
32729.7034	177804	31.5
32996.2664	163799	42
30890.775	160782	27.5
13780.5322	144654	32.5
20862.4089	143005	36.5
17247.5247	141239	17
30890.7805	138100	28
32809.6753	133659	32
17618.8274	130289	29.5
14411.5135	129369	21.5
21262.7343	128938	23
41813.8961	126213	40
15656.6975	123017	19
20761.1518	121393	20.5
30031.8214	110900	37.5
32751.7045	102552	32
21847.9224	101048	34.5
20188.4316	97340	31
18688.376	92861	38
20823.858	91782	22
16303.9939	89048	27
32996.2617	86043	41.5
32871.6042	84743	32.5
18432.5527	84711	43.5
18432.5569	83588	44
15648.6349	82838	20
22388.975	82578	23.5
24610.0089	81298	43
13765.524	80195	32
21849.9156	79670	35
42942.8738	77893	33.5
18330.9579	76609	21.5
20719.1413	75658	20.5
18422.0101	74183	19
25906.291	74103	26.5
24610.011	72043	43.5
21761.99	71953	23
32671.7014	71114	32.5
14007.9049	69851	31.5
21828.9333	69391	35.5
22389.978	68502	23
20903.8214	68349	22
17041.911	68303	34
22155.2638	67286	29.5
21261.7277	65248	22.5
41844.8633	64766	40.5
5447.9625	59265	17.5
17188.7202	58448	36.5
35932.9998	57573	28
35960.0068	57058	28
15718.7613	56750	25
23983.7583	56365	31.5
17080.6197	55743	27
32751.6882	55498	32.5
13765.5232	54986	32.5
26582.4054	54272	33.5
18941.92	54111	27.5
13750.5231	52713	32
32729.7043	52222	33
15257.5357	51986	35.5
15271.5405	48917	35.5
10914.9735	48795	35
15682.677	48507	23
25925.2975	48505	25.5
10914.4745	47377	35
25887.2999	45119	25.5
24063.7255	44422	31.5
25926.2901	44405	26
18941.9257	44233	28
15285.5436	43934	35.5
25888.2961	43877	26
15656.6991	43709	19.5
24002.7586	43664	30.5
20150.6043	43479	27
18422.0124	43472	19.5
26373.54	43197	26
22773.027	42959	36.5
15243.5243	42750	35.5
26582.4059	42244	33
13630.6852	41380	25
17041.9124	40626	33.5
33186.9035	38532	34.5
13997.8603	38393	31
41844.8747	38301	40
26373.5447	37895	25.5
32772.6804	37353	32
32996.2654	37259	42.5
24003.7483	36841	31
34560.3717	36471	25
16940.1398	36338	26
17746.5758	36152	29.5
41635.7386	36103	39.5
32872.6007	36092	33
21778.9893	36006	22.5
15299.5458	35939	35.5
25985.2678	34733	26
32830.6604	34532	31.5
17624.0231	34101	14.5
32698.6556	33949	32.5
32711.7417	33863	32
24083.7106	33758	31
10914.4748	33682	34.5
22446.5171	33375	28.5
17823.1545	33088	14.5
13750.5223	32979	32.5
34479.3993	32936	25
14617.1622	32825	34
22773.0259	32656	36
10914.9725	32284	34.5
24045.7325	31309	31
24082.7189	30969	30.5
24045.7409	30749	30.5
22432.4195	30653	30
15313.5501	30563	35.5
24365.4108	30387	25.5
17247.5281	30152	17.5
12114.8612	30030	21
21252.2923	29974	23.5
21812.9211	29790	35
32749.6948	29656	31.5
13153.4238	29540	20.5
24384.831	29310	24.5
13796.5302	29033	32
35882.1813	29017	40.5
23719.4501	28676	25.5
21812.9218	28545	34.5
16436.0009	28315	23.5
25985.2707	27993	25.5
23965.7673	27852	30.5
21849.8058	27816	32.5
24726.5103	27369	36
34431.3266	27230	24.5
21871.8967	27083	34.5
17595.139	27041	26
21871.8945	26958	35
32672.7125	26275	33
28789.2761	26068	34.5
22155.2598	26039	30
20748.8984	26003	23.5
22548.5089	25916	30
32790.6699	25751	32
17618.8281	25618	30
33011.6403	25591	32.5
13153.4232	25586	21
25826.324	25471	26.5
35526.1929	25302	28
32809.6687	25079	32.5
24364.4071	24872	25
21602.9754	24703	35
25904.4956	24665	41
20276.5836	24261	32.5
25922.3031	24202	25
20883.3934	24177	36
23965.7584	24169	31
24726.5122	23860	36.5
15327.5524	23743	35.5
33047.6176	23686	32.5
25903.9987	23646	41
33047.6086	23200	33
30031.8265	23104	38
13890.8076	23045	31
41360.4998	23017	38
43316.1656	22990	36
25941.2916	22939	25.5
32830.6548	22910	32
41813.8731	22680	41
25940.2867	22431	26
35959.9986	22368	27.5
32729.7044	22249	33.5
15919.4915	22045	25
36053.9066	21866	29
35932.9893	21786	27.5
33010.6325	21526	33
30910.7694	21414	27.5
24384.819	21300	25
34479.4037	21212	25.5
13796.53	21211	32.5
16303.9952	21076	27.5
37123.9304	20949	34
15229.35	20720	23
15229.5088	20667	35.5
17188.7199	20667	36
15919.4918	20640	25.5
22446.5145	20591	29
24029.7451	20511	30.5
5447.9623	20509	17
21828.9356	20401	36
21331.8115	20361	22.5
25845.3292	20172	25.5
13890.8083	20086	31.5
21252.2877	19961	24
20516.2066	19943	36
22537.4637	19929	30
17080.6225	19824	27.5
20719.1436	19737	20
41832.8747	19471	40.5
20903.8297	19286	22.5
24028.7346	18995	31
42942.8754	18891	34
16131.4886	18797	30
41863.8568	18754	40.5
12952.6596	18683	25.5
20748.8928	18246	24
16363.358	18096	32
34127.0865	18055	29
41831.8883	17973	40
47208.296	17970	36.5
12953.1615	17868	25.5
33018.2576	17682	42
32772.6792	17681	32.5
34580.3679	17514	24.5
35526.1896	17441	28.5
16365.8588	17346	32
24876.1622	17168	43
15257.5282	17098	35
24237.3468	17052	26
